Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_095.jpg,0,1,0,1.886647,101.2857,87.27716,1.28766,43.59249,-0.001083232
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_161.jpg,0,1,0,1.9327,101.37,87.35683,1.289908,43.58096,-0.001095829
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_230.jpg,0,1,0,1.976939,101.4857,87.46597,1.297401,43.56606,-0.001126416
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_297.jpg,0,1,0,2.03754,101.5747,87.54992,1.300136,43.55493,-0.001145579
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_364.jpg,-1.497988,1,0,2.081451,101.6966,87.66438,1.301072,43.46952,-0.0008411838
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_431.jpg,-4.494425,1,0,2.126481,101.7915,87.75097,1.299577,43.09153,0.001107149
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_497.jpg,-7.500388,1,0,2.183643,101.89,87.83752,1.301142,42.38606,0.002362307
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_564.jpg,-4.508438,1,0,2.226986,102.0258,87.9539,1.301508,41.40552,0.001953565
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_630.jpg,-1.513496,1,0,2.270369,102.1301,88.04324,1.31062,40.99004,6.063379E-05
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_696.jpg,0,1,0,2.314924,102.2361,88.13457,1.318355,40.86903,-0.001081003
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_765.jpg,0,1,0,2.373142,102.3807,88.25886,1.326917,40.82961,-0.001298831
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_832.jpg,0,1,0,2.416515,102.4915,88.35388,1.328804,40.81663,-0.001300647
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_898.jpg,0,1,0,2.474427,102.6044,88.45054,1.330615,40.80401,-0.001313031
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_07_965.jpg,0,1,0,2.517458,102.758,88.58201,1.336408,40.7887,-0.001327446
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_032.jpg,0,1,0,2.560362,102.8755,88.68254,1.341855,40.77745,-0.001353442
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_098.jpg,0,1,0,2.617382,102.995,88.78472,1.346904,40.76635,-0.001379759
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_166.jpg,0,1,0,2.660289,103.1572,88.92341,1.343451,40.75154,-0.0009261187
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_232.jpg,0,1,0,2.702407,103.2812,89.0294,1.348896,40.73663,-0.001375277
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_298.jpg,-1.521397,1,0,2.758781,103.4073,89.13688,1.353064,40.69516,-0.001327134
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_08_363.jpg,-4.505797,1,0,2.801263,103.58,89.28047,1.347004,40.18093,0.0009969494
